"","tract","rev","human_services","education","public","religion","arts","health","total","oth","perc_poverty","perc_male_occ","female_headed","crowded_housing","public_assistance","under_30k","less_hs","unemployment","ndi"
"166","124100",0,0,1,0,0,0,0,1,0,0.3,0.1,0.1,0,0.3,0.5,0.3,0.1,0.0333
"167","124201",3475701,1,0,0,0,1,0,2,0,0.2,0.1,0.1,0,0.1,0.4,0.1,0.1,0.0066
"168","124202",2338045,0,1,0,0,0,0,2,1,0.2,0.1,0.1,0,0.3,0.5,0.3,0.1,0.0289
"169","124300",63230,1,1,1,0,0,0,3,1,0.2,0,0.1,0,0.3,0.4,0.2,0.1,0.0313
"170","124500",1213575,1,2,2,0,0,0,5,2,0.2,0,0.1,0,0.2,0.3,0.2,0.1,0.0107
"171","124600",5761294,1,2,0,0,0,0,3,0,0.2,0,0.1,0,0.3,0.5,0.2,0.2,0.0317
"172","126100",482118,2,1,0,0,0,0,3,0,0.3,0,0.1,0,0.2,0.4,0.1,0.1,0.0136
"173","127501",661357,1,0,1,0,0,0,2,1,0.3,0,0.2,0,0.4,0.6,0.2,0.2,0.0685
"174","130103",312200,3,1,4,1,0,1,11,5,0,0.2,0,0,0,0.1,0,0,-0.059
"175","130104",3499791,11,4,5,2,2,2,27,6,0,0.1,0,0,0,0.1,0,0,-0.0541
"176","130105",3205058,2,69,0,0,0,0,73,2,0.1,0.1,0,0,0.1,0.2,0,0,-0.0465
"177","130106",218179,4,0,2,0,1,0,7,2,0,0.1,0,0,0,0.1,0,0,-0.0424
"178","131102",114909223,26,7,5,23,383,9,455,7,0.1,0.1,0,0,0,0.1,0,0,-0.0446
"179","131103",3850328,2,3,2,2,0,4,13,2,0,0.1,0,0,0,0.1,0,0,-0.0548
"180","131104",73010292,3,1,3,1,1,0,9,3,0.1,0.2,0,0,0,0.2,0.1,0,-0.0461
"181","132100",2707437,4,3,2,0,0,0,12,5,0.1,0,0,0,0.2,0.4,0.1,0.1,4e-04
"182","132200",507543,7,4,2,1,2,2,19,3,0,0,0,0,0.1,0.2,0.1,0.1,-0.0191
"183","132301",8336,1,2,0,0,1,0,4,0,0.1,0,0.1,0,0.1,0.3,0,0,-0.0182
"184","132302",957866,3,0,3,0,2,0,8,3,0.2,0,0.2,0.1,0.2,0.4,0.1,0.1,0.02
"185","133103",860352,5,1,0,0,3,0,10,1,0.2,0.1,0.1,0,0.3,0.4,0.1,0.1,0.0224
"186","133104",0,1,0,1,0,0,0,4,3,0.3,0,0.1,0,0.2,0.5,0.2,0.1,0.0295
"187","134100",91065,0,0,1,1,1,0,4,2,0.1,0,0,0,0.1,0.3,0.1,0.1,-0.0178
"188","134203",785958,2,1,1,1,1,0,7,2,0,0.1,0.1,0,0,0.1,0.1,0.1,-0.0421
"189","134204",516458,2,0,1,1,0,2,7,2,0.2,0,0.1,0,0.2,0.4,0.1,0,0.0076
"190","134205",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.1,0,-0.0367
"191","134206",0,1,0,0,0,0,0,2,1,0.1,0.1,0.1,0,0.1,0.2,0,0.1,-0.0285
"192","134300",150175068,6,14,6,2,4,1,41,14,0.1,0,0,0,0.1,0.3,0.1,0.1,-0.0112
"193","135103",322563,2,1,2,1,1,0,8,3,0,0.1,0.1,0,0,0.2,0,0.1,-0.04
"194","135104",1336826,1,1,0,1,1,2,7,1,0,0.1,0,0,0,0.1,0,0,-0.0522
"195","135105",366968498,9,2,4,0,7,4,29,7,0,0.1,0.1,0,0,0.2,0,0,-0.0423
"196","135106",727864,4,0,5,0,0,2,11,5,0,0.1,0,0,0,0.1,0,0,-0.0522
"197","136101",0,2,2,1,0,0,0,5,1,0.1,0.2,0,0,0.1,0.2,0.1,0,-0.0411
"198","136102",1441238,5,1,1,0,5,1,19,7,0,0.2,0,0,0.1,0.1,0,0,-0.0505
"199","136103",11783192,5,2,3,0,4,3,18,4,0.1,0.1,0,0,0,0.1,0,0.1,-0.0379
"200","137101",367399340,19,19,4,7,5,1,70,19,0.1,0,0.1,0,0.2,0.3,0.1,0.1,0.0045
"201","137102",320212,1,1,2,0,0,0,7,5,0.1,0,0,0,0.1,0.3,0.1,0.1,-0.0121
"202","137103",0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0.1,0.2,0.1,0.1,-0.0231
"203","138105",0,0,0,0,0,0,0,1,1,0.2,0,0.1,0,0.3,0.5,0.1,0.1,0.0216
"204","138106",19862338,5,0,3,0,3,1,16,7,0.1,0,0.1,0,0.1,0.3,0.1,0.1,-0.0068
